topic,stance,argument,argument_sentiment
enforce term limits on the legislative branch of government,PRO,"voters ""overwhelmingly support term limits",1.0
endangered species,PRO,Earth's surviving biodiversity provides resources for increasing the range of food and other products suitable for human use,1.0
the right to asylum,CON,application for asylum could be denied regardless of the legitimacy of their claim,
Israel's 2008-2009 military operations against Gaza,CON,"Military action leading to the killing and suffering of civilians, by whomever is carried out, deserves to be condemned",-1.0
the sale of violent video games to minors,CON,Media influences are too weak and distant to have much influence on aggressiveness,1.0
advertising,CON,companies create high ethical standards upon which to approach marketing,
unleash the free market,PRO,a bigger role of the government in the economy will make people feel less responsible for the society,-1.0
barrier methods of contraception,PRO,a man who grows accustomed to the use of contraceptive methods may forget the reverence due to a woman,-1.0
open primaries,CON,An open primary law is in general unconstitutional,-1.0
democratization,PRO,more democracy increases economic freedom,1.0
subsidize the growing of tobacco,PRO,Toxic compounds in tobacco constitute serious health hazards,-1.0
intellectual property rights,PRO,intellectual property laws can actually hinder innovation,-1.0
the use of affirmative action,CON,Affirmative action policies reduce the incentives of both the preferred and non-preferred to perform at their best,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,Palestinian security forces do little or nothing to prevent rocket attacks,-1.0
democratization,CON,Democracies decay into anarchy,-1.0
the right to asylum,CON,everyone has the right to seek and to enjoy in other countries asylum from persecution,1.0
have children,PRO,"the average standard of living in a declining population, at least in terms of material possessions, will tend to rise",1.0
build hydroelectric dams,PRO,Hydroelectric plants have long economic lives,1.0
Israel's 2008-2009 military operations against Gaza,CON,The government of Israel had a policy of deliberately targeting civilians,-1.0
democratization,PRO,people must have the opportunity to decide what political matters actually are and what should be brought up for deliberation,1.0
the one-child policy of the republic of China,CON,the dramatic decrease in Chinese fertility started before the program began in 1979 for unrelated factors,-1.0
freedom of speech,PRO,it is necessary to prevent the use of information resources and technologies for criminal and terrorist purposes,-1.0
subsidize poor communities,PRO,Safety nets  protect households facing hard times from falling into deeper poverty and help them manage risk,1.0
wind power,CON,"wind power ""cannot be relied upon to provide significant levels of power",-1.0
wind power,PRO,Wind energy does not emit greenhouse gases or carbon dioxide,1.0
ASEAN,CON,ASEAN Way has recently proven itself relatively successful in the settlements of disputes by peaceful manner,1.0
democratization,CON,"The new establishment of democratic institutions in countries where the associated practices have as yet been uncommon or deemed culturally unacceptable, can result in institutions, that are not sustainable in the long term",-1.0
gambling,CON,Gambling is a popular leisure activity enjoyed in many forms by millions of people,1.0
build high rises for housing,PRO,single family houses are likely to require much more energy to heat in cold weather than do buildings with shared walls,-1.0
make physical education compulsory,PRO,many children lead a relatively sedentary lifestyle,
unleash the free market,PRO,"The only chance to build a decent world is ""to improve the general level of wealth"" via the activities of free markets",1.0
unleash the free market,CON,"a centrally planned economy can provide public goods which would not have been available at all, or might require explicit government provision, in a market economy",1.0
unleash the free market,PRO,economic and political freedoms are linked,
build hydroelectric dams,CON,Dam construction often leads to abuses of the masses by planners,-1.0
governments should choose open source software,PRO,FOSS applications often provide high levels of functionality with good user acceptance,1.0
all nations have a right to nuclear weapons,CON,Nuclear proliferation increases the chances of nuclear material falling into the hands of non-state groups,-1.0
democratic governments should require voters to present photo identification at the polling station,CON,Identification requirements may reduce rather than expand the electorate,-1.0
enforce term limits on the legislative branch of government,CON,New lawmakers are more vulnerable to power wielded by lobbyists,-1.0
wind power,CON,the non-dispatchable nature of wind energy production can raise costs for regulation,-1.0
burning the stars and stripes,CON,protest involving the physical use of the flag should be seen as a form of protected expression under the First Amendment,1.0
fund education using a voucher scheme,PRO,competition would improve schools and cost efficiency,1.0
unleash the free market,CON,It should be the policy of government to aid and foster certain activities or kinds of business that strengthen a nation,1.0
leaking of military documents,CON,The decision to leak classified information is something that is illegal,-1.0
Israel's 2008-2009 military operations against Gaza,PRO,life in much of southern Israel was paralyzed by Hamas rocket and mortar fire,-1.0
endangered species,PRO,Research on natural processes can only occur if habitat is preserved and organisms continue to thrive,1.0
partial birth abortions,PRO,deliberate abortions are seriously immoral,-1.0
multiculturalism,PRO,Diversity makes available more ways of solving problems and responding to catastrophes,1.0
endangered species,CON,"As long as species have been evolving, species have been going extinct",1.0
atheism,PRO,religion does more harm than good,-1.0
partial birth abortions,PRO,Unborn children have an inherent right to life,1.0
intellectual property rights,CON,Patents and copyrights are the legal implementation of the base of all property rights: a man's right to the product of his mind,1.0
boxing,CON,Referees will stop the bout if a boxer is seriously injured,
unleash the free market,PRO,Free trade promotes peace,1.0
fund education using a voucher scheme,CON,the tuition voucher proposal would undermine public education,-1.0
advertising,PRO,Advertising is considered the most prevalent and toxic of the mental pollutants,-1.0
unleash the free market,PRO,unfettered markets maximize individual freedom,1.0
only teach abstinence for sex education in schools,CON,Professional medical organizations oppose the sole use of abstinence-only sex education,-1.0
partial birth abortions,CON,legal abortion under medically controlled conditions is preferable to illegal back-alley abortion without proper medical supervision,1.0
unleash the free market,PRO,competition in the free market is more effective than the regulation of industry,1.0
intellectual property rights,CON,"without a significant period of legal protection of their future income, many valuable books and artworks would not be created",1.0
gambling,PRO,"gambling, like any behavior which involves variation in brain chemistry, can become a psychologically addictive and harmful behavior",-1.0
