topic,stance,argument,argument_sentiment
atheism,CON,the most immoral acts in human history were performed by atheists,-1.0
partial birth abortions,PRO,Abortion is considered to be morally wrong,-1.0
the monarchy,PRO,The laws of succession are held by some to be sexist,-1.0
endangered species,PRO,More biologically diverse communities appear to be more stable,1.0
the sale of violent video games to minors,PRO,Various games are accused of causing addiction and even violent behavior,-1.0
the monarchy,PRO,Monarchy encourages a feeling of dependency in many people who should instead have confidence in themselves and their fellow citizens,-1.0
barrier methods of contraception,PRO,Contraception is gravely opposed to marital chastity,-1.0
all nations have a right to nuclear weapons,CON,new nuclear states often lack adequate organizational controls over their new weapons,-1.0
wind power,PRO,Wind power has low ongoing costs,1.0
barrier methods of contraception,PRO,"all licit sexual acts must be both unitive (express love), and procreative",
wind power,PRO,A wind farm has one of the lowest environmental impacts of all energy sources,1.0
the monarchy,CON,Monarchy strengthens popular liberty,1.0
the one-child policy of the republic of China,CON,"poverty and famine are caused by bad government and bad economic policies, not by overpopulation",1.0
build hydroelectric dams,PRO,Hydroelectric plants have high availability factors,1.0
the sale of violent video games to minors,CON,adolescents that don't play video games at all are most at-risk for violent behavior,-1.0
intellectual property rights,CON,intellectual property rights are essential to maintaining economic growth,1.0
democratization,PRO,democracies are more peaceful in general,1.0
wind power,CON,variability can present substantial challenges to incorporating large amounts of wind power,-1.0
advertising,PRO,advertising has the potential to persuade people into commercial transactions that they might otherwise avoid,-1.0
barrier methods of contraception,PRO,Catholicism considers all forms of birth control to be sins,-1.0
intellectual property rights,PRO,Patents are critisized as state-granted monopolies inconsistent with free trade,-1.0
multiculturalism,CON,A liberal democracy cannot be multicultural,-1.0
unleash the free market,PRO,Free-market capitalism is seen as the basis for a free and prosperous society,1.0
freedom of speech,PRO,The freedom of speech and of the press does not confer an absolute right to express without any responsibility,-1.0
atheism,PRO,religion was born of fear and ignorance,-1.0
atheism,CON,certain features of the universe and of living things are the product of an intelligent cause,1.0
gambling,CON,there is no moral impediment to gambling,1.0
gambling,PRO,Most games played in the casino have mathematically-determined odds that ensure the house has at all times an advantage over the players,-1.0
build hydroelectric dams,CON,dams are not likely to generate a large financial rate of return,-1.0
the one-child policy of the republic of China,CON,Some parents may over-indulge their only child,-1.0
governments should choose open source software,CON,"All people have access to the source code, including potential attackers",-1.0
unleash the free market,CON,"negative externalities"") cannot effectively be regulated solely by the marketplace",-1.0
Israel's 2008-2009 military operations against Gaza,CON,"Israel's response was ""disproportionate",-1.0
all nations have a right to nuclear weapons,PRO,nuclear weapons contribute to stability at a strategic level,1.0
partial birth abortions,CON,"while the fetus is innocent and biologically human, it is not a person with a right to life",-1.0
